domain	Annotation #1	Annotation #2	Annotation #3	Final	Justification	# of snopes articles
trueactivist.com	Orange	Orange		Orange	Partisan and sensationalist articles (Example article title: "N/ASA Proposes $3.5 Billion Plan To Puncture Supervolcano And Save The World" and "Revealed: Sen. McCain’s KKK Ancestry And How He Put Neo-Nazis In Power In Ukraine"). Documented false stories (and not subsequently corrected).	3
trunews.com	Orange	Red		Red	Climate denialism: (Example article title: "Not Settled: Astrophysicist Says ‘Mini Ice Age’ Staying" and "Scientists: Sea Ice Not a Symptom of ‘Climate Change"). Multiple websites (e.g., http://www.rightwingwatch.org/organizations/trunews/) warn that the founder features conspiratorial thinking on his radio show (episodes found on the same website) and is a "con man."	2
truthfeed.com	Red	Orange		Red	Hyperbolic entertainment. Headlines exaggerated for shock value. Clickbait, inaccuracies, and no corrections page. (Example article title: "Look What is Selling Like Hotcakes! Liberals are FURIOUS Over This!")	3
truthuncensoRed.net	Orange	Red		Red	Partisan articles such as "CNN Stands By Their Claim That 63 Million Trump Voters Are White Supremacists", and "LOL! Justin Trudeau is in PANIC MODE and Tells Illegals to STOP COMING IN!". Weird echoes of Russia -- pizzagate/pedophilia articles that keep being reposted with new dates: e.g., same false article dated June 27, 2015 (http://archive.is/kshhb), reposted Nov 9, 2015 (https://archive.is/7qFIe) and reposted Jan 27, 2016 (http://truthuncensoRed.net/university-academics-say-pedophilia-is-natural-for-males-aroused-by-children/#sthash.UgLiUjWk.qhqX7SRY.dpbs).	1
usasupreme.com	Red	Orange		Red	Makes stuff up: originator of http://www.snopes.com/julian-assange-bernie-sanders-was-threatened, according to Snopes. Site's "about" page and many articles are not grammatical English.	2
uschronicle.com	Orange	Yellow		Orange	Mostly factual, occasionally makes mistakes. Operation seems to be several bloggers aggregating stories from elsewhere. No dates on articles.	1
viralliberty.com	Red	Red		Red	Very misleading articles (Example article title: "NEW VIDEO Of SECRET SERVICE LAPTOP THEFT Suggests TRUMP ASSASSIN/ATION PLAN IN MOTION [VIDEO] ") and conspiratorial (Example article title: "Did TRUMP HINT THAT SCALIA WAS ASSASSIN/ATED In O’Riley Interview … LISTEN CLOSELY "). Articles aren't consistent about listing date, author, source. Part of a strange network of sites with near-identical template.	1
washingtontimes.com	Green	Green		Green	Valid news site with negligible fake news reporting.	3
wearechange.org	Red	Orange		Red	An opinion blog commenting on current news. Embraces conspiracy theories, e.g., 9/11 truth commission. Now an organization with local chapters nationwide. SPLC flags the group as radical: https://www.splcenter.org/fighting-hate/intelligence-report/2015/we-are-changes-la-leader-belies-groups-moderate-image. Clickbait. Prior to the article, "Trumps Pivot That Will Bring On The  End Of The U.S. Empire" there is a note stating "We are a fully independent broadcast news organization that is financed by you. I needed to say that before getting into the next subject of this video which is a very light topic which is of course “The diabolical, evil plot by bloodthirsty globalists to start a war, with the help of the mainstream media!”"	1
westernsentinel.com	Red	Orange		Red	Site has no evidence of credibility. Reports on pizzagate: see http://archive.is/http://westernsentinel.com/*.  The page archived by Snopes is utterly fictional, doesn't list an author or a source of its main claim, which is copied verbatim from elsewhere. Note also that the ads on its screenshot are in Bosnian.	1
whatdoesitmean.com	Red	Red		Red	Notorious source of conspiracy theories. Not a news site, but a source of complete fictions, which occasionally get spread. Example titles: "How The “Conspiracy Theory” Label Was Conceived To Derail The Truth Movement" and "What You Aren’t Being Told About The World You Live In"	3
wnd.com	Red	Orange		Red	Well established as a promoter of conspiracies. Documented as source of the Obama birther conspiracy, source or promoter of Vincent Foster death conspiracy (1994), Obama FEMA camps conspiracy. Many details at https://www.splcenter.org/fighting-hate/extremist-files/individual/joseph-francis-farah, http://www.salon.com/2011/04/11/joseph_farah_wnd_misinformation/ and http://articles.latimes.com/2010/jan/27/nation/la-na-worldnetdaily27-2010jan27/2. 	3
worldtruth.tv	Red	Red		Red	Conspiratorial and misleading (articles: "The health bennefits of drinking from a copper cup" and "little girl crossing the road was saved by a ghost"	2
yahoo.com	Green	Yellow		Green	Mostly seems to replicate articles from other news sites. Issues corrections.	1
yelp.com	N/A	N/A		N/A	Not a news site. User generated reviews site.	1
youngcons.com	Orange	Red		Orange	Typical clickbait aggregator. Does not list a lot of organizational info nor make corrections to snopes fact checks.	2
youtube.com	N/A	N/A		N/A	Not a news site. User generated videos site.	1
zerohedge.com	Orange	Orange		Orange	Although the articles are attributed to authors, they use a pseudonym "Tyler Durden" and are anonymous. Conspiratorial.	2
eaglerising.com	Red	Orange 		Red	Vested interest and birther fake news	2
proudcons.com	Red	Red		Red	Consistently exaggerates facts, often reposts from unreliable sources. Site is anonymous. E.g. "BREAKING: Source of Julian Assange’s Pedophile Attack Found, Direct Connection To Hillary", "Postal Worker Caught Destroying Absentee Trump Ballots in Major Swing State"	2
usuncut.com	Orange	Red		Orange	Extremely left site with inaccuracies and exaggerations.	2
allenwestrepublic.com	Red	Red		Red	Vested interest, plus sensationalism. Example articles "Did the Washington Post just embrace Satanism?". One-person site, not particularly concerned about truthfulness.	2
chicksontheright.com	Orange	Orange		Orange	Clickbait blog with documented lapses. Extreme exaggerations of facts.	1
conservativebyte.com	Red	Yellow		Red	Currently hosts other sites' articles. However, previous has propagated conspiracies (Nancy Pelosi supplying children to pedophile Harry Reid, etc.).	1
ihavethetruth.com	Red	Orange		Orange	Site with no clear line between anecdotes / jokes and news.	2
tacticalinvestor.com	Red	Red		Red	Mostly an investment blog, but under some sections can be found many downright false and conspiratorial articles.	0
nutra-lifestyle.com	Red	Red		Red	Pharmaceutical spam. Home page isn't configured. The 3 URLs examined all have the same page, which masquerades as NBC News and promotes a "wonder drug."	0
rawstory.com	Yellow	Yellow		Yellow	Snopes lists site having fallen for some false stories or exaggerations.	0
bossip.com	yellow/green	Green		Green	No questionable stories were found, upon inspection.	0
therealstrategy.com	Red	Orange		Red	Site isn't active. However, their profile on the gab says "Twitter banned us after #pizzagate #GabNow Invite your friends". Plus posted #StopWhiteGenocide. Wayback machihne shows Alex Jones rumours about police assessing voice data that Amazon has been listening to from Echo. etc. Red.	0
thecount.com	Orange	Yellow		Yellow	Quotes polls from the likes of Drudge Report but does not obviously produce partisan or fake content, appears to be just a general content aggregator	0
ecowatch.com	Yellow	Yellow		Yellow	Liberal pseudoscience -it's pretty mild tho.	0
